POSITIVE|source_reset=PASS;sink_reset=PASS;source_frames=2000;sink_frames=1800;energy=1166001;dropped=0
RESTART|cycle=1;source_stop=0;sink_stop=0;received=100;energy=1151325;dropped=0
RESTART|cycle=2;source_stop=0;sink_stop=0;received=100;energy=968221;dropped=0
RESTART|cycle=3;source_stop=0;sink_stop=0;received=100;energy=1121405;dropped=0
RESTART|cycle=4;source_stop=0;sink_stop=0;received=100;energy=1051435;dropped=0
RESTART|cycle=5;source_stop=0;sink_stop=0;received=100;energy=912670;dropped=0
RESTART|cycle=6;source_stop=0;sink_stop=0;received=100;energy=1059809;dropped=0
RESTART|cycle=7;source_stop=0;sink_stop=0;received=100;energy=920902;dropped=0
RESTART|cycle=8;source_stop=0;sink_stop=0;received=100;energy=1022406;dropped=0
RESTART|cycle=9;source_stop=0;sink_stop=0;received=100;energy=928442;dropped=0
RESTART|cycle=10;source_stop=0;sink_stop=0;received=100;energy=1177583;dropped=0
RESTART|cycle=11;source_stop=0;sink_stop=0;received=100;energy=928442;dropped=0
RESTART|cycle=12;source_stop=0;sink_stop=0;received=100;energy=1155689;dropped=0
RESTART|cycle=13;source_stop=0;sink_stop=0;received=100;energy=1100738;dropped=0
RESTART|cycle=14;source_stop=0;sink_stop=0;received=100;energy=956409;dropped=0
RESTART|cycle=15;source_stop=0;sink_stop=0;received=100;energy=911792;dropped=0
RESTART|cycle=16;source_stop=0;sink_stop=0;received=100;energy=1140289;dropped=0
RESTART|cycle=17;source_stop=0;sink_stop=0;received=100;energy=912666;dropped=0
RESTART|cycle=18;source_stop=0;sink_stop=0;received=100;energy=968233;dropped=0
RESTART|cycle=19;source_stop=0;sink_stop=0;received=100;energy=1115188;dropped=0
RESTART|cycle=20;source_stop=0;sink_stop=0;received=100;energy=1155707;dropped=0
WRONG_CODE|cycle=1;reason=-61;invalid_frames=0;recovered_frames=100;energy=1067112;dropped=0
WRONG_CODE|cycle=2;reason=-61;invalid_frames=0;recovered_frames=100;energy=935728;dropped=0
WRONG_CODE|cycle=3;reason=-61;invalid_frames=0;recovered_frames=100;energy=1002908;dropped=0
WRONG_CODE|cycle=4;reason=-61;invalid_frames=0;recovered_frames=100;energy=912666;dropped=0
WRONG_CODE|cycle=5;reason=-61;invalid_frames=0;recovered_frames=100;energy=1104925;dropped=0
WRONG_CODE|cycle=6;reason=-61;invalid_frames=0;recovered_frames=100;energy=909880;dropped=0
WRONG_CODE|cycle=7;reason=-61;invalid_frames=0;recovered_frames=100;energy=911748;dropped=0
WRONG_CODE|cycle=8;reason=-61;invalid_frames=0;recovered_frames=100;energy=1048189;dropped=0
WRONG_CODE|cycle=9;reason=-61;invalid_frames=0;recovered_frames=100;energy=1059838;dropped=0
